placeId,name,category,address,point,providerPlaceId
145,해안시장 내,ETC,부산광역시 서구 해안새벽시장길27,POINT(129.0254000 35.0950600),
146,한국전력공사,ETC,"부산광역시 서구 보수대로 21, 한국전력공사남부건설본부 (토성동1가)",POINT(129.0239117 35.0987413),
147,서부경찰서,ETC,"부산광역시 서구 대영로 16, 부산서부경찰서 (서대신동2가)",POINT(129.0133528 35.1098549),
148,구덕운동장 주경기장 26호,ETC,"부산광역시 서구 망양로 57, 구덕운동장 (서대신동3가)",POINT(129.0152673 35.1158790),
149,실버웰요양센터 화장실,ETC,"부산광역시 서구 시약로 35 (서대신동3가, 실버웰)",POINT(129.0085344 35.1128387),
150,중앙공원 광장,ETC,"부산광역시 서구 망양로193번길 187, 중앙공원관리사업소 (동대신동2가)",POINT(129.0279000 35.1122000),
151,서구 물양장 화장실,ETC,부산광역시 서구 새벽해안시장길,POINT(129.0251550 35.0937400),
152,충무지구대,ETC,부산광역시 서구 임시수도기념로 36 (부민동3가),POINT(129.0179600 35.1037040),
153,충무동우체국,ETC,"부산광역시 서구 충무대로 258, 충무동우체국 (충무동1가)",POINT(129.0241305 35.0937085),
154,암남항,ETC,"부산광역시 서구 송도해변로 10-3, 부산해양경찰서 남항파출소 송도출장소 (암남동)",POINT(129.0188320 35.0708810),
155,부민동주민센터,ETC,"부산광역시 서구 임시수도기념로 22-11, 부민동주민센터 (부민동3가)",POINT(129.0184667 35.1038394),
156,서대신우체국,ETC,"부산광역시 서구 구덕로 313, 부산서대신동우체국 (서대신동2가)",POINT(129.0167712 35.1118407),
157,동대신1동 주민센터,ETC,부산광역시 서구 280번길 32,POINT(129.0202610 35.1096620),
158,수산물유통시설관리사업소활어장,ETC,"부산광역시 서구 원양로 35, 국제수산물도매시장 (암남동)",POINT(129.0103090 35.0589390),
159,수산물유통시설관리사업소도매동,ETC,"부산광역시 서구 원양로 35, 국제수산물도매시장 (암남동)",POINT(129.0103090 35.0589390),
160,암남공원2호광장(다목적광장),ETC,부산광역시 서구 암남동 산 193(케이블카 후문),POINT(129.0182677 35.0609354),
161,서대신3동주민센터,ETC,"부산광역시 서구 대신로 27, 서대신3동주민센터 (서대신동3가)",POINT(129.0118715 35.1134510),
162,수정동우체국 1층,ETC,"부산광역시 동구 수정로 9, 부산 수정동우체국 1층 (수정동)",POINT(129.0429000 35.1297700),
163,증산공원(상),ETC,"부산광역시 동구 증산북로 18-7, 증산공원(상) 게이트볼장 옆 (범일동)",POINT(129.0514000 35.1377000),
