place_key,source_dataset,source_place_id,place_name,ui_category,raw_category,source_category,category_source,category_match_method,is_adopted_category,district_gu,address,point_wkt,latitude,longitude,provider_place_id,public_facility_type,public_facility_id,public_facility_name,public_facility_address,accessibility_count,accessibility_type_codes,accessibility_type_labels
place:5560,erd_ready,5560,나사함 발달장애인 복지관,복지·돌봄,WELFARE,WELFARE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 못골번영로 70,POINT(129.0890636 35.1413328),35.1413328,129.0890636,,,,,,6,ramp|accessibleEntrance|elevator|accessibleToilet|stepFree|guidanceFacility,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|단차 없음|안내 설비
place:5561,erd_ready,5561,무지개유치원,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 못골번영로 72,POINT(129.0890743 35.1417281),35.1417281,129.0890743,,,,,,2,ramp|stepFree,경사로|단차 없음
place:5562,erd_ready,5562,천주교 못골성당,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 못골로41번길 22-7,POINT(129.0872388 35.1372213),35.1372213,129.0872388,,,,,,4,ramp|accessibleEntrance|accessibleParking|stepFree,경사로|접근 가능 출입구|장애인 주차장|단차 없음
place:5563,erd_ready,5563,고려병원,의료·보건,HEALTHCARE,HEALTHCARE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 수영로 238,POINT(129.0926053 35.1349045),35.1349045,129.0926053,,,,,,5,ramp|accessibleEntrance|elevator|accessibleToilet|stepFree,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|단차 없음
place:5564,erd_ready,5564,위대항병원,의료·보건,HEALTHCARE,HEALTHCARE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 수영로 241,POINT(129.0929475 35.1353731),35.1353731,129.0929475,,,,,,7,ramp|accessibleEntrance|elevator|accessibleToilet|accessibleParking|stepFree|guidanceFacility,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|장애인 주차장|단차 없음|안내 설비
place:5565,erd_ready,5565,롯데슈퍼,음식·카페,FOOD_CAFE,FOOD_CAFE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 못골로 78,POINT(129.0909805 35.1358614),35.1358614,129.0909805,,,,,,3,ramp|accessibleEntrance|stepFree,경사로|접근 가능 출입구|단차 없음
place:5566,erd_ready,5566,호텔위드,숙박,ACCOMMODATION,ACCOMMODATION,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 유엔평화로4번길 12,POINT(129.0911570 35.1346633),35.1346633,129.0911570,,,,,,3,ramp|accessibleEntrance|stepFree,경사로|접근 가능 출입구|단차 없음
place:5567,erd_ready,5567,부산아동병원,의료·보건,HEALTHCARE,HEALTHCARE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 수영로 228,POINT(129.0914619 35.1348448),35.1348448,129.0914619,,,,,,6,ramp|accessibleEntrance|elevator|accessibleToilet|accessibleParking|stepFree,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|장애인 주차장|단차 없음
place:5568,erd_ready,5568,뮤트호텔,숙박,ACCOMMODATION,ACCOMMODATION,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 수영로220번길 7,POINT(129.0908097 35.1346304),35.1346304,129.0908097,,,,,,4,ramp|accessibleEntrance|elevator|stepFree,경사로|접근 가능 출입구|엘리베이터|단차 없음
place:5569,erd_ready,5569,브라운도트 호텔,숙박,ACCOMMODATION,ACCOMMODATION,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 수영로208번길 8,POINT(129.0892951 35.1345338),35.1345338,129.0892951,,,,,,3,ramp|accessibleEntrance|stepFree,경사로|접근 가능 출입구|단차 없음
place:5570,erd_ready,5570,보스코호텔,숙박,ACCOMMODATION,ACCOMMODATION,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 못골로12번길 64,POINT(129.0873567 35.1353522),35.1353522,129.0873567,,,,,,3,ramp|accessibleEntrance|stepFree,경사로|접근 가능 출입구|단차 없음
place:5571,erd_ready,5571,준빌딩,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 수영로 179,POINT(129.0862957 35.1350917),35.1350917,129.0862957,,,,,,6,ramp|accessibleEntrance|elevator|accessibleToilet|accessibleParking|stepFree,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|장애인 주차장|단차 없음
place:5572,erd_ready,5572,부산성소병원,의료·보건,HEALTHCARE,HEALTHCARE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 수영로 175,POINT(129.0857857 35.1351510),35.1351510,129.0857857,,,,,,6,ramp|accessibleEntrance|elevator|accessibleToilet|accessibleParking|stepFree,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|장애인 주차장|단차 없음
place:5573,erd_ready,5573,리즈메디컬,의료·보건,HEALTHCARE,HEALTHCARE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 수영로 182-1,POINT(129.0865615 35.1345803),35.1345803,129.0865615,,,,,,4,ramp|accessibleEntrance|elevator|stepFree,경사로|접근 가능 출입구|엘리베이터|단차 없음
place:5574,erd_ready,5574,롯데하이마트(대연점),기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 수영로 182,POINT(129.0863743 35.1345627),35.1345627,129.0863743,,,,,,6,ramp|accessibleEntrance|elevator|accessibleToilet|accessibleParking|stepFree,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|장애인 주차장|단차 없음
place:5575,erd_ready,5575,명언빌딩,음식·카페,FOOD_CAFE,FOOD_CAFE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 못골로 28,POINT(129.0853008 35.1354900),35.1354900,129.0853008,,,,,,0,,
place:5576,erd_ready,5576,호텔 스미스,숙박,ACCOMMODATION,ACCOMMODATION,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 못골로12번길 20,POINT(129.0849343 35.1352142),35.1352142,129.0849343,,,,,,3,ramp|accessibleEntrance|stepFree,경사로|접근 가능 출입구|단차 없음
place:5577,erd_ready,5577,기독교대한성결교회대연교회,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 수영로 161,POINT(129.0842101 35.1350132),35.1350132,129.0842101,,,,,,4,ramp|accessibleEntrance|accessibleParking|stepFree,경사로|접근 가능 출입구|장애인 주차장|단차 없음
